naslov,avtor,ocena,score,glasovalci
Frostbite,Richelle Mead,4.28,8.755,100

2666,Roberto Bolaño,4.21,8.706,94

The Lost Symbol,Dan Brown,3.7,8.664,101

The Battle of the Labyrinth,Rick Riordan,4.39,8.585,103

Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,3.61,8.52,97

Olive Kitteridge,Elizabeth Strout,3.83,8.419,95

Blood River: A Journey to Africa's Broken Heart,Tim Butcher,4.06,8.282,83

The Tales of Beedle the Bard,J.K. Rowling,4.08,8.169,98

Me Before You,Jojo Moyes,4.26,8.137,95

The Plot Against America,Philip Roth,3.77,8.135,93

Miss Peregrine's Home for Peculiar Children,Ransom Riggs,3.91,8.032,96

Uglies,Scott Westerfeld,3.86,7.926,92

Wolf Hall,Hilary Mantel,3.87,7.893,91

Peace Like a River,Leif Enger,4.0,7.86,87

City of Fallen Angels,Cassandra Clare,4.14,7.843,96

"Hush, Hush",Becca Fitzpatrick,3.98,7.734,88

A Visit from the Goon Squad,Jennifer Egan,3.66,7.705,86

Blood Promise,Richelle Mead,4.34,7.638,89

Let the Great World Spin,Colum McCann,3.95,7.605,83

Dead Until Dark,Charlaine Harris,3.96,7.581,88

Nickel and Dimed: On,Barbara Ehrenreich,3.63,7.552,86

Inkheart,Cornelia Funke,3.88,7.533,88

The Ocean at the End of the Lane,Neil Gaiman,4.0,7.412,83

Running with Scissors,Augusten Burroughs,3.72,7.171,83

The Invention of Hugo Cabret,Brian Selznick,4.24,7.124,83

The Yiddish Policemen's Union,Michael Chabon,3.71,7.052,79

1Q84,Haruki Murakami,3.92,6.961,79

Hotel on the Corner of Bitter and Sweet,Jamie Ford,4.01,6.789,77

The Passage,Justin Cronin,4.04,6.743,73

The Eyre Affair,Jasper Fforde,3.9,6.626,70

The Lost Hero,Rick Riordan,4.35,6.625,82

Little Bee,Chris Cleave,3.71,6.404,74

Mystic River,Dennis Lehane,4.18,6.37,75

Shutter Island,Dennis Lehane,4.09,6.324,72

Black Swan Green,David Mitchell,3.99,6.3,68

The Forgotten Garden,Kate Morton,4.14,6.277,71

One Day,David Nicholls,3.79,6.266,70

Fingersmith,Sarah Waters,4.03,6.195,69

Spirit Bound,Richelle Mead,4.36,6.194,73

Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.32,6.121,70

Let the Right One In,John Ajvide Lindqvist,4.07,6.07,67

Delirium,Lauren Oliver,3.98,6.069,73

Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,5.904,66

Saturday,Ian McEwan,3.63,5.849,67

Clockwork Prince,Cassandra Clare,4.45,5.769,72

Suite Française,Irène Némirovsky,3.84,5.742,66

Matched,Ally Condie,3.67,5.74,70

The Year of the Flood,Margaret Atwood,4.07,5.734,64

The Wise Man's Fear,Patrick Rothfuss,4.57,5.686,62

Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,4.43,5.679,58

Fifty Shades of Grey,E.L. James,3.66,5.601,68

High in School,Salman Aditya,4.38,5.5,55

The Girl on the Train,Paula Hawkins,3.92,5.44,65

Odd Thomas,Dean Koontz,3.97,5.212,59

Stiff: The Curious Lives of Human Cadavers,Mary Roach,4.06,5.205,58

The Bookseller of Kabul,Åsne Seierstad,3.77,5.154,62

A Discovery of Witches,Deborah Harkness,4.0,5.045,59

Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,5.008,57

"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,3.73,4.99,54

If I Stay,Gayle Forman,3.95,4.899,62

Possession of My Soul,Kia Carrington-Russell,3.55,4.885,49

Snow,Orhan Pamuk,3.59,4.875,56

Allegiant,Veronica Roth,3.63,4.849,60

A Great and Terrible Beauty,Libba Bray,3.79,4.835,56

Under the Dome,Stephen King,3.9,4.75,55

The Final Empire,Brandon Sanderson,4.45,4.732,51

Dear John,Nicholas Sparks,4.03,4.719,55

Last Sacrifice,Richelle Mead,4.4,4.708,55

The Crimson Petal and the White,Michel Faber,3.89,4.531,51

Eldest,Christopher Paolini,3.99,4.521,56

Then We Came to the End,Joshua Ferris,3.46,4.52,49

City of Lost Souls,Cassandra Clare,4.28,4.478,59

The Hour I First Believed,Wally Lamb,3.82,4.465,53

The Lacuna,Barbara Kingsolver,3.79,4.44,55

Fallen,Lauren Kate,3.73,4.401,54

Throne of Glass,Sarah J. Maas,4.22,4.4,54

The Tale of Despereaux,Kate DiCamillo,4.04,4.371,54

Assassination Vacation,Sarah Vowell,3.97,4.351,47

Wonder,R.J. Palacio,4.45,4.34,54

Moloka'i,Alan Brennert,4.17,4.326,49

Paper Towns,John Green,3.82,4.325,53

The Summoning,Kelley Armstrong,4.03,4.303,51

The Little Friend,Donna Tartt,3.46,4.28,49

Clockwork Princess,Cassandra Clare,4.58,4.259,52

The Gargoyle,Andrew Davidson,3.96,4.176,46

Shiver,Maggie Stiefvater,3.77,4.14,55

The Nightingale,Kristin Hannah,4.57,4.129,50

A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,4.16,4.111,48

Dewey: The Small-Town Library Cat Who Touched the World,Vicki Myron,3.88,4.033,45

Cinder,Marissa Meyer,4.15,3.986,51

The Nanny Diaries,Emma McLaughlin,3.42,3.857,45

Deception Point,Dan Brown,3.71,3.848,47

In the Woods,Tana French,3.77,3.833,45

I Am Number Four,Pittacus Lore,3.94,3.832,47

P.S. I Love You,Cecelia Ahern,4.02,3.817,49

The Sense of an Ending,Julian Barnes,3.72,3.815,46

Bring Up the Bodies,Hilary Mantel,4.28,3.795,45

Beautiful Creatures,Kami Garcia,3.76,3.794,50

Dead to the World,Charlaine Harris,4.13,3.78,46

Out Stealing Horses,Per Petterson,3.81,3.775,43

Americanah,Chimamanda Ngozi Adichie,4.3,3.765,43

Still Alice,Lisa Genova,4.31,3.737,46

Vernon God Little,D.B.C. Pierre,3.59,3.731,42

The Sisterhood of the Traveling Pants,Ann Brashares,3.79,3.661,49

Daughter of Smoke &amp; Bone,Laini Taylor,4.02,3.584,44

I Am America,Stephen Colbert,3.91,3.533,40

City of Thieves,David Benioff,4.3,3.53,41

March,Geraldine Brooks,3.75,3.527,42

In Defense of Food: An Eater's Manifesto,Michael Pollan,4.08,3.49,41

Crossing the Seas: A Diary of My Thoughts,Yuehai Xiao,4.38,3.482,35

The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared,Jonas Jonasson,3.83,3.473,43

Fifty Shades Darker,E.L. James,3.85,3.414,43

The Mark of Athena,Rick Riordan,4.46,3.387,45

The Son of Neptune,Rick Riordan,4.44,3.311,44

Shanghai Girls,Lisa See,3.9,3.3,39

The Fiery Cross,Diana Gabaldon,4.26,3.296,38

Austerlitz,W.G. Sebald,4.04,3.286,34

Loving Frank,Nancy Horan,3.76,3.282,40

Dreams of the Ringed Vale,Robert Fanney,3.99,3.278,34

Eleanor &amp; Park,Rainbow Rowell,4.07,3.262,43

The Thousand Autumns of Jacob de Zoet,David Mitchell,4.04,3.218,39

Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,3.203,36

The Birth of Venus,Sarah Dunant,3.81,3.19,39

The Book of Lost Things,John Connolly,3.98,3.183,38

Choke,Chuck Palahniuk,3.7,3.137,37

A Dirty Job,Christopher Moore,4.07,3.107,32

"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",Ron Hall,4.23,3.053,33

1776,David McCullough,4.07,3.041,39

The Knife of Never Letting Go,Patrick Ness,3.98,3.024,34

A Breath of Snow and Ashes,Diana Gabaldon,4.44,3.022,35

Before I Fall,Lauren Oliver,3.91,3.012,36

Blankets,Craig Thompson,4.05,2.903,32

The Angel's Game,Carlos Ruiz Zafón,3.92,2.901,34

Life After Life,Kate Atkinson,3.76,2.831,32

"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris,3.93,2.827,31

In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,4.16,2.827,29

The Red Pyramid,Rick Riordan,4.09,2.774,37

Dark Lover,J.R. Ward,4.2,2.771,34

Bitten,Kelley Armstrong,4.05,2.77,32

Blood &amp; Spirits,Dennis Sharpe,3.97,2.684,27

Fangirl,Rainbow Rowell,4.07,2.64,32

Tell No One,Harlan Coben,4.11,2.626,30

Lips of a Mastodon,Ted Bernal Guevara,3.95,2.6,26

Cell,Stephen King,3.65,2.581,31

Anathem,Neal Stephenson,4.19,2.58,27

The Way of Kings,Brandon Sanderson,4.65,2.577,28

"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,3.71,2.566,30

Consider the Lobster and Other Essays,David Foster Wallace,4.23,2.564,30

Brisingr,Christopher Paolini,4.06,2.527,32

The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,4.11,2.52,31

Carnal: Somewhere Over 40 Winks,Rom LcO&#39;Feer,3.65,2.5,25

The Last Song,Nicholas Sparks,4.15,2.496,32

Possession of My Heart,Kia Carrington-Russell,3.46,2.494,25

Houdini Heart,Ki Longfellow,4.22,2.48,26

Night Watch,Terry Pratchett,4.49,2.472,28

The Orphan Master's Son,Adam Johnson,4.07,2.468,29

The Book of Negroes,Lawrence Hill,4.46,2.462,29

The Sisters Brothers,Patrick deWitt,3.85,2.452,29

The Casual Vacancy,J.K. Rowling,3.3,2.418,30

Dissolution,C.J. Sansom,4.09,2.413,27

Fantastic Beasts and Where to Find Them,Newt Scamander,3.99,2.406,34

On Chesil Beach,Ian McEwan,3.58,2.397,31

Living Dead in Dallas,Charlaine Harris,3.97,2.396,29

Just Kids,Patti Smith,4.15,2.382,28

And the Mountains Echoed,Khaled Hosseini,4.05,2.369,30

Rooftops of Tehran,Mahbod Seraji,4.05,2.35,25

Moon Called,Patricia Briggs,4.17,2.347,28

Club Dead,Charlaine Harris,4.03,2.344,30

Suzanne's Diary for Nicholas,James Patterson,4.17,2.334,27

The Selection,Kiera Cass,4.14,2.316,30

Dreamcatcher,Stephen King,3.63,2.313,28

Fifty Shades Freed,E.L. James,3.86,2.311,30

Poison Study,Maria V. Snyder,4.13,2.298,29

Legend,Marie Lu,4.18,2.294,28

Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.06,2.289,29

Change of Heart,Jodi Picoult,3.93,2.274,27

The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,3.76,2.273,28

Fragile Things: Short Fictions and Wonders,Neil Gaiman,4.0,2.268,26

The Kitchen House,Kathleen Grissom,4.2,2.252,30

The Tiger's Wife,Téa Obreht,3.39,2.245,29

Explosion in Paris,Linda Masemore Pirrung,4.11,2.238,24

Sharp Objects,Gillian Flynn,3.97,2.237,29

An Echo in the Bone,Diana Gabaldon,4.44,2.221,26

Evermore,Alyson Noel,3.59,2.22,30

The Song of Achilles,Madeline Miller,4.34,2.201,24

Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,4.26,2.196,26

The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,4.1,2.183,22

The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,3.91,2.182,27

Against the Day,Thomas Pynchon,4.13,2.179,25

The Sea,John Banville,3.51,2.161,26

Matterhorn,Karl Marlantes,4.26,2.156,25

JPod,Douglas Coupland,3.69,2.155,23

The Wedding,Nicholas Sparks,3.99,2.13,25

A Little Life,Hanya Yanagihara,4.31,2.124,25

Dead in the Family,Charlaine Harris,3.89,2.118,26

Magical Thinking: True Stories,Augusten Burroughs,3.98,2.117,24

"Mayflower: A Story of Courage, Community, and War",Nathaniel Philbrick,3.87,2.112,28

The Book of Occult,Simon W. Clark,3.91,2.099,21

Fall of Giants,Ken Follett,4.29,2.093,24

A Painted House,John Grisham,3.7,2.084,25

The Rosie Project,Graeme Simsion,4.02,2.084,26

The Fortress of Solitude,Jonathan Lethem,3.87,2.051,23

All Together Dead,Charlaine Harris,4.05,2.035,26

From Dead to Worse,Charlaine Harris,4.01,2.028,28

Can You Keep a Secret?,Sophie Kinsella,3.84,2.027,24

Rules of Civility,Amor Towles,4.04,2.024,24

City of Heavenly Fire,Cassandra Clare,4.46,2.02,27

Three Junes,Julia Glass,3.57,2.019,24

Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.0,2.016,24

Linger,Maggie Stiefvater,3.91,2.013,26

Station Eleven,Emily St. John Mandel,4.04,2.007,24

Teacher Man,Frank McCourt,3.75,2.0,24

Wildalone,Krassi Zourkova,3.26,2.0,20

The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,3.68,1.992,24

Those Who Save Us,Jenna Blum,4.13,1.99,23

Inferno,Dan Brown,3.85,1.981,24

The Reluctant Fundamentalist,Mohsin Hamid,3.72,1.932,24

Mistress of the Art of Death,Ariana Franklin,3.96,1.929,23

Inherent Vice,Thomas Pynchon,3.75,1.916,23

The Dive from Clausen's Pier,Ann Packer,3.42,1.915,23

The Kindly Ones,Jonathan Littell,4.07,1.904,21

Falling Man,Don DeLillo,3.21,1.901,19

Dark Places,Gillian Flynn,3.93,1.883,23

The Reckoning,Kelley Armstrong,4.21,1.868,25

I Am the Messenger,Markus Zusak,4.07,1.863,23

The Scorch Trials,James Dashner,3.92,1.861,24

Crown of Midnight,Sarah J. Maas,4.45,1.858,24

"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,3.84,1.854,23

The Light Between Oceans,M.L. Stedman,4.03,1.846,23

I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,4.11,1.845,24

South of Broad,Pat Conroy,3.81,1.842,23

Bridge of Sighs,Richard Russo,3.8,1.839,23

The Snow Child,Eowyn Ivey,3.98,1.826,23

Unwind,Neal Shusterman,4.18,1.821,21

Dry,Augusten Burroughs,4.03,1.812,21

Darkfever,Karen Marie Moning,4.1,1.811,23

The Tender Bar: A Memoir,J.R. Moehringer,3.96,1.805,20

Quidditch Through the Ages,Kennilworthy Whisp,3.86,1.803,27

Marked,P.C. Cast,3.8,1.798,26

Crescendo,Becca Fitzpatrick,4.05,1.795,24

"Fables, Vol. 1: Legends in Exile",Bill Willingham,3.97,1.79,21

Pretties,Scott Westerfeld,3.85,1.767,23

Outliers: The Story of Success,Malcolm Gladwell,4.16,1.759,21

Bloodlines,Richelle Mead,4.21,1.748,23

Wicked Lovely,Melissa Marr,3.69,1.741,23

Wool Omnibus,Hugh Howey,4.23,1.74,21

Betrayed,P.C. Cast,3.93,1.734,23

The Throne of Fire,Rick Riordan,4.21,1.717,22

Torment,Lauren Kate,3.88,1.716,24

Tiger's Voyage,Colleen Houck,4.33,1.703,18

Exotic Neurotic,Kenneth Jarrett Singleton,4.37,1.7,17

زندگی مه آلود پریا,سید مرتضی مصطفوی,3.93,1.699,17

The Lies of Locke Lamora,Scott Lynch,4.3,1.698,19

The Line of Beauty,Alan Hollinghurst,3.74,1.697,21

Why She Left Us,David Dennis,4.05,1.697,17

A Man Called Ove,Fredrik Backman,4.36,1.695,23

Definitely Dead,Charlaine Harris,4.02,1.688,23

The Cellist of Sarajevo,Steven Galloway,4.02,1.656,20

Dead and Gone,Charlaine Harris,4.02,1.645,23

Drop City,T. Coraghessan Boyle,3.85,1.64,20

Good in Bed,Jennifer Weiner,3.72,1.638,21

Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,3.75,1.634,20

Winter's Bone,Daniel Woodrell,3.91,1.623,22

Just Listen,Sarah Dessen,4.06,1.611,23

Steve Jobs,Walter Isaacson,4.13,1.609,19

The 5th Wave,Rick Yancey,4.06,1.609,22

The House of Hades,Rick Riordan,4.55,1.606,21

The Strain,Guillermo del Toro,3.79,1.595,19

Untamed,P.C. Cast,3.95,1.592,22

Dead as a Doornail,Charlaine Harris,4.01,1.583,22

Halfway to the Grave,Jeaniene Frost,4.17,1.57,20

Hunted,P.C. Cast,3.93,1.57,22

Death with Interruptions,José Saramago,4.0,1.562,17

"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World",Tracy Kidder,4.21,1.549,19

The Children's Book,A.S. Byatt,3.67,1.542,19

The Tenderness of Wolves,Stef Penney,3.76,1.536,18

The City &amp; the City,China Miéville,3.92,1.536,19

The Invention of Wings,Sue Monk Kidd,4.24,1.51,20

Curse of The Salute,Anastacia Moore,4.38,1.5,15

The Woods,Harlan Coben,4.05,1.494,17

Tree of Smoke,Denis Johnson,3.53,1.488,17

Heir of Fire,Sarah J. Maas,4.49,1.485,18

Let's Pretend This Never Happened: A Mostly True Memoir,Jenny  Lawson,3.9,1.473,18

Something Borrowed,Emily Giffin,3.85,1.459,19

Safe Haven,Nicholas Sparks,4.21,1.458,19

The Golden Lily,Richelle Mead,4.35,1.454,19

The Paris Wife,Paula McLain,3.81,1.451,22

Percy Jackson and the Olympians,Rick Riordan,4.59,1.435,17

"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,3.83,1.435,18

The Windup Girl,Paolo Bacigalupi,3.75,1.434,17

"The Ghost Map: The Story of London's Most Terrifying Epidemic—and How It Changed Science, Cities, and the Modern World",Steven Johnson,3.9,1.432,18

The Art of Fielding,Chad Harbach,4.0,1.432,18

A Tale for the Time Being,Ruth Ozeki,4.01,1.419,16

Infidel,Ayaan Hirsi Ali,4.21,1.415,17

Artemis Fowl,Eoin Colfer,3.84,1.414,20

The Magicians,Lev Grossman,3.51,1.411,16

Awakened,P.C. Cast,4.02,1.41,20

The Luminaries,Eleanor Catton,3.73,1.4,17

Life... Love... Kumbh...,Aporva Kala,4.13,1.395,14

Half Broke Horses,Jeannette Walls,4.07,1.38,17

Love Is a Mix Tape,Rob Sheffield,3.85,1.378,16

Case Histories,Kate Atkinson,3.83,1.376,18

Unless,Carol Shields,3.63,1.367,16

It's Kind of a Funny Story,Ned Vizzini,4.13,1.365,15

Mister Pip,Lloyd Jones,3.68,1.356,16

Beautiful Disaster,Jamie McGuire,4.11,1.346,18

Nights in Rodanthe,Nicholas Sparks,3.84,1.342,17

Quicksilver,Neal Stephenson,3.93,1.336,16

Garden Spells,Sarah Addison Allen,4.07,1.334,17

I am Charlotte Simmons,Tom Wolfe,3.42,1.327,16

For One More Day,Mitch Albom,4.1,1.321,17

A Gentleman in Moscow,Amor Towles,4.35,1.315,16

The Goose Girl,Shannon Hale,4.13,1.301,18

Beautiful Ruins,Jess Walter,3.68,1.298,17

The Bridge To Caracas,Stephen Douglass,4.13,1.293,13

The Raw Shark Texts,Steven Hall,3.87,1.292,14

Pattern Recognition,William Gibson,3.87,1.291,17

The Chronicle of Sapta Sindhu,Aporva Kala,3.99,1.288,13

Girl in Translation,Jean Kwok,3.98,1.281,16

Old Man's War,John Scalzi,4.24,1.276,15

The Dark Tower,Stephen King,4.28,1.275,15

Fade,Lisa McMann,3.95,1.271,16

HHhH,Laurent Binet,4.1,1.271,14

Seven Up,Janet Evanovich,4.16,1.269,15

Passion,Lauren Kate,3.89,1.263,17

"Full Dark, No Stars",Stephen King,4.06,1.256,15

